Movie,Song,Lyrics
Pete's Dragon,Brazzle Dazzle Day,it's a brazzle dazzle day so throw off the past and everything in it that's the brazzle dazzle way enjoying your time from minute to minute running through the sand without your shoes on shoes on making sure that you don't keep your blues on finding a boat we can cruise on it's a brazzle dazzle day when you think of love and never of sorrow that's the brazzle dazzle way to do your work now and take off tomorrow flying through the air you don't need wings on wings on climb right up and feel the thrill it brings on rock with the wind as it sings on ride higher and higher and glide above the clouds free no one to catch us or slow us even the birds are below us it's a brazzle dazzle day a lifetime of joy in just a few hours all our brazzle dazzle years have just begun we'll follow the sun and replay this brazzle dazzle day when your job becomes a frolic you become a brass-aholic ride higher and higher and glide above the clouds free no one to catch us or slow us even the birds are below us it's a brazzle dazzle day a lifetime of joy in just a few hours all our brazzle dazzle years have just begun we'll follow the sun and replay this brazzle dazzle day this brazzle dazzle day 
Pete's Dragon,Candle on the Water,i'll be your candle on the water my love for you will always burn i know you're lost and drifting but the clouds are lifting don't give upyou have somewhere to turn i'll be your candle on the water till every wave is warm and bright my soul is there beside you let this candle guide you soon you'll see a golden stream of light a cold and friendless tide has found you don't let the stormy darkness pull you down i'll paint a ray of hope around you circling in the air lighted by a prayer i'll be your candle on the water this flame inside of me will grow keep holding on you'll make it here's my hand so take it look for me reaching out to show as sure as rivers flow i'll never let you go i'll never let you go i'll never let you go 
Pete's Dragon,Every Little Piece,dragon whiskers dragon toes a dragon tooth and a dragon nose every little piece every little piece we could make a million by slicing him dicing him hoagy we could sell every little shell there's enough of him to go around money money money by the pound every little piece every little piece i can take a scissor and clip him up rip him up every little part is a work of art think of what a dragon heart would bring wrapped up in a ribbon and a string dragon liver can cure a cold dragon powder grows hair with dragon blood you'll never grow old every item is covered with gold every item is covered with gold every little piece every little piece dragon you're my wagon to destiny you're the key every little shred moving me ahead every dream of mine will be fulfilled what a dragon business we can build dragon cartilage keeps you thin dragon fat is for burns a dragon tear will clear up your skin watch the profits come rolling in watch the profits come rolling in every little piece every little crease all lead me to the dragon i'll buy him up and tie him up drag him from the cave show him that i'm brave i'll bind him up grind him up lop him up chop him up can't you hear that jingle jangle sound it's money money money by the pound money money money crowns sous we'll have banks full of francs quids bucks in truckloads cash stocks bonds bigger shares millionaires marks yens in tens and twenties cash dragon cartilage keeps you thin dragon fat is for burns a dragon tear will clear up your skin watch the profits come rolling in watch the profits come rolling in every little piece every little crease lead us to the dragon we'll buy him up tie him up drag him from the cave show him that we're brave we'll bind him up grind him up lop him up chop him up can't you hear that jingle jangle sound it's money money money by the pound 
Pete's Dragon,"Boo Bop Bop Bop Bop (I Love You, Too)",i look in your eyes and you whisper sweetly we don't match in size but we fit so neatly it's nice waking up when you're close beside me humming in my ear i love you too remember the night when you first confided and things went so right that we both decided now we're together and life is perfect don't ever disappear i love you too we're walking down a road of our own where rain can never fall i'm glad i don't have to be alone you know what to say when i want direction you don't turn away when i need protection your voice is the sound of an angel singing music i wait to hear i love you too i love you too i love you too i love you too 
Pete's Dragon,I Saw a Dragon,a dragon a dragon i swear i saw a dragon a green and seething fire-breathing monster is in sight with eyes of red a lion's head and wings as dark as night oh he has a jaw of gleaming teeth he's 50 feet in height it's true it's true oh what are we to do it's true it's true he'll break us all in two oh he's comin' in his great big fin is right against the door so board up all the windows and get down on the floor a dragon a dragon i swear i saw a dragon his tail lashing he'll be smashing every shop in town with scaly feet he'll crack the street and tear the steeple down it's not some loony dream i heard a scream from sheriff brown it's true it's true oh what are we to do it's true it's true old lampie's in a stew a dragon a dragon i swear there was a dragon you're off your hinges all those binges put you in a haze you crazy fools it's all your doggone fault he's in a daze let go of me let go of me and mend your wicked ways what makes you think there ever was there never was there never never ever was a dragon dragon 
Pete's Dragon,It's Not Easy,he has the head of a camel the neck of a crocodile it sounds rather strange he's both a fish and a mammal and i hope he'll never change 'cause it's not easy to find someone who cares it's not easy to find magic in pairs i'm glad i found him i love him i won't let him get away 'cause it's not easy you say the head of a camel the neck of a crocodile and the ears of a cow it's clear that friends can be different yes and i understand you now it's not easy to find someone who cares it's not easy to find magic in pairs now that you have him hold him treasure him from day to day it's so easy life is lollipops and raindrops with the one you love someone you can always be with argue and agree with climb the highest tree with it's not easy to share somebody's dream it gets easy when you work as a team you've got to tend it fan it that's what i plan to do oh i had one friend by my side now i have two him and you him and me and it's so easy 
Pete's Dragon,Passamashloddy,i've been bringing cures from pilgrim heights to provincetown treated rabbit fever down on queen anne road gout or gastritis mumps or bronchitis bites and burns and blue abrasions got a pill for all occasions little sippewisse was so nice to visit and scroggy neck is lovely to recall but through all my trips good lord there's one place one corner one town on my lips why it'spoddomaquassy uh paquamasoddy no no passamamassy quoddamapoddy passamadaddy quoddamapassy passamahoddy oh i know it's passamashloddy no it's passamaquoddy of course that's what i meant to say i took your drug for losing weight and now i'm a blob but now there's so much more of you to love i wiped out impetigo on the banks of buttermilk flu is under firm control in powder hole terminus potions tablets and lotions major news in modern science step up now and join my clients spent a day in buzzard's bay they couldn't keep me there even turned away from kingdom hall they probably threw you out my hair was gray and thanks to you it turned into pink but that color it's so becoming we're gonna wash your phony tonics right down the sink my friends you've seen a miracle and you'll see many more people will come pouring in from land and sea we'll have centers for testing let's start investing keep those dimes and dollars mounting i'll collect i'll do the counting everyone who lives here will be strong and healthy you'll be getting richer by the day hear them acclaim us this town will be famous the whole wide world will look at us and say it's poddomaquassy no paquamasoddy qu-qu-quoddamapassy quoddamadaddy dappaddy dappamossy quoddapossy pwassapwassa passaquassa pass-a-ma-quod-dy 
Pete's Dragon,The Happiest Home in These Hills,he's gone that-a-way he's went this-a-way he's up a tree i think oh petey oh petey where are you please come back oh petey oh petey you're like a son to us we miss you we miss you if i get near him you can bet i won't miss him with this i'll cook you cake and gingerbread bring you tea in bed on a tray we'll slave while you go fishing you'll get permission to run and play these tears oughta show you i care come back by cracky we'll share the happiest home in these hills in these hills gonna snag him gag him drag him through town put his head in the river let the pup drown trap him strap him wrap him in a sack yeah tie him screaming to a railroad track we'll have you sing in chapel you'll be the apple of momma's eye i'll tend to all your sewing and do your mowing so just rely on me dang we know you're out there it's late we're waiting to share the happiest home in these hills in these hills gonna paw him claw him saw him in half when he cries out for mercy we'll just laugh beat him heat him eat him for dessert yeah roast him gently so the flames won't hurt you'll swim and you'll go camping you'll be a champ in your own backyard our love is overflowing it keeps on growing you'll sleep good knowing you're home in these hills we're gonna string him from a tree in these hills we're gonna sting him like a bee in these hills we're gonna spill him on his head in these hills we're gonna fill him full of lead in these hills 
Pete's Dragon,There's Room for Everyone,there's room for everyone in this world if everyone makes some room won't you move over and share this world everyone make some room even a dragon deserves a place a wide open space with no reins no chains he wants to play games dance with you give him a chance to sing his song he only wants to belong there's room for everyone in this world will everyone make some room spread out while elliott gets uncurled fly on his back and zoom rock him and ride him and line up beside him you'll see how quickly you'll blend a dragon is just one more stranger in search of a friend from an ant to a bird to a buffalo herd let them walk and fly and roam step aside let them live it's simple to give like us they just need a home there's room for everyone in this world back up and make some room let's all move over and share this world everyone make some room just think how far out the ocean goes the whirling wind blows shore to shore door to door think of the valleys and mountaintops the earth never stops so deep and so high with miles of sky we all have part of the pie welcome the dragon while you have a chance give him his moment to rise up and dance there's room for everyone in this world will everyone make some room love given freely can spare this world let friendly feelings bloom just give an inch give a yard never flinch when the time comes to offer a hand so let's all make sure we give everyone somewhere to stand so let's all make sure we give everyone somewhere to stand just the way god planned it just the way god planned 
Piglet's Big Movie,A Mother's Intuition,it's a mother's intuition to make a little space it's her quiet mission to tidy up her place a mother's intuition is like a kangaroo's she hops around she mops the ground she fusses over you a mother with her intuition will know just what to do it's a mother's intuition to wash her baby well she won't forget behind the ears and the extra soap suds on the tail a mother's into cleaning she'll clean until she's through she's smart enough she's wise enough to add up two and two a mother with her intuition will know just what to do a mother has a feeling she pays special attention if someone is concealing if someone's playing tricks she rubs and scrubs and scours the secrets until the answer clicks then she takes a brush and polishes your teeth she'll make you shine and sparkle new until she finds the real you underneath isn't it charming just mommy and little roo fresh as a daisy sparkling just like new it's a mother's intuition it's a mother's intuition it's a mother's intuition 
Piglet's Big Movie,Comforting to Know,when the heart of the hundred acre wood is beating and time is passing through there's a shadow looking like a rainbow's halo and there i'm resembling you more than fame a name on a tree more than power or might sweeter than the treats of a honey bee i'll be here through the night it's comforting to know it's comforting to know silent as the moon at dawn soothing as a bed filled with hay strong as a hero in the land of old i'll be here through the day it's comforting to know it's comforting to know greyer than gloom on a rainy afternoon sadder than being sorry for me finer than finding my tail again i'll be here for all of thee it's comforting to know it's comforting to know you only get a few good friends in this life who are devoted and true and right here in this now and near it's clear that it's all of you i'll find you when you're hard to see i'll look for you everywhere you'll know just how i'm feeling when i show you that i care it's comforting to know it's so comforting to know 
Piglet's Big Movie,If I Wasn't so Small,it's not as if i want to rule the world or even the forest or even one tree i suppose i could be happy if i could be helpful with just a little bit of noticing me if i wasn't so small i could be like tigger figure out ways to help some of those in need indeed i could volunteer as the friend you would want right near more like rabbit and pooh and eeyore i'd be useful and helpful the one you would call can i walk around my shadow once before it disappears into the sun run circles around the bees bring the heffalump to his knees catch the pollen before the sneeze i'd be needed and useful more each passing day i may be small but in the biggest helpfulest way 
Piglet's Big Movie,Sing Ho For the Life of a Bear (Expotition March),sing ho for the life of a bear sing ho for the expedition sing ho for the life of a bear sing ho for the expedition it's a fine day for marchin' there's a tiny little breeze and when there's honey for the makin' there's a buzz among the bees sing ho for the life of a bear sing ho for the expedition sing ho for the life of a bear sing ho for the expedition i'm itchin' and scratchin' and scratchin' and itchin' to find the north pole findin' the pole may be the goal but it's drummin' for funnin' that makes you sing ho for the life of a bear sing ho for the expedition sing ho for the life of a bear sing ho for the expedition 
Piglet's Big Movie,The More I Look Inside,the more i look inside the more he isn't there what am i supposed to do when piglet is not everywhere the more i rack my brain the more i search in vain i guess i'll have a little snack and wait for it to start to rain maybe i will draw a picture and while i'm busy doing that my mind will wander off somewhere and piglet will reappear my mind will wander off somewhere and piglet will be right here the more i look inside the more you're real to me i see you here i see you there feel you everywhere 
Piglet's Big Movie,The More it Snows (Tiddely-Pom),the more it snows tiddely-pom the more it goes tiddely-pom the more it goes on snowing tiddely-pom and nobody knows tiddely-pom how cold my toes tiddely-pom how cold my toes are growing tiddely-pom  tiddely-pom tiddely-pom  tiddely-pom 
Piglet's Big Movie,With a Few Good Friends,with a few good friends and a stick or two a house is built at a corner called pooh with a friend and a stick or three or four a house is built where it wasn't before with a window here and there a door and a nail and peg for the coat of eeyore with a few good friends and a stick or two a house is built at a corner called pooh with a friend and a stick or three or four a house is built where it wasn't before dress it down or dress it up invite tigger for tea and owl for supper with a few good friends and a stick or two a house is built at a corner called pooh with a friend and a stick or three or four a house is built where it wasn't before with a few good friends 
Pinocchio,Give a Little Whistle,when you get in trouble and you don't know right from wrong give a little whistle give a little whistle when you meet temptation and the urge is very strong give a little whistle give a little whistle not just a little squeak pucker up and blow and if your whistle's weak yell jiminy cricket take the straight and narrow path and if you start to slide give a little whistle give a little whistle and always let your conscience be your guide take the straight and narrow path and if you start to slide give a little whistle give a little whistle and always let your conscience be your guide and always let your conscience be your guide 
Pinocchio,Hi-Diddle-Dee-Dee,hi-diddle-dee-dee an actor's life for me a high silk hat and a silver cane a watch of gold with a diamond chain hi-diddle-dee-day an actor's life is gay it's great to be a celebrity an actor's life for me hi-diddle-dee-dee an actor's life for me a wax mustache and a beaver coat a pony cart and a billy goat hi-diddle-dee-dum an actor's life is fun you wear your hair in a pompadour you ride around in a coach and four you stop and buy out a candy store an actor's life for me 
Pinocchio,I've Got no Strings, i've got no strings to hold me down to make me fret or make me frown i had strings but now i'm free there are no strings on me hi-ho the me-ri-o that's the only way to be i want the world to know nothing ever worries me i've got no strings so i have fun i'm not tied up to anyone they've got strings but you can see there are no strings on me  you have no strings your arms is free to love me by the zuiderzee ya ya ya if you would woo i'd bust my strings for you  you have no strings couci couca your savoir-faire is ooh-la-la i've got strings but entre nous i'd cut my strings for you  down where the volga flows there's a russian rendez-vous where me and ivan goes but i'd rather go with you hey  there are no strings on me 
Pinocchio,Little Wooden Head,little wooden head go play your part bring a little joy to every heart little do you know and yet it's true that i'm mighty proud of you little wooden feet and best of all little wooden seat in case you fall oh-ho how graceful my little wooden head 
Pinocchio,When You Wish Upon a Star,when you wish upon a star makes no difference who you are anything your heart desires will come to you if your heart is in your dream no request is too extreme when you wish upon a star as dreamers do like a bolt out of the blue fate steps in and sees you through when you wish upon a star your dreams come true 
Tinker Bell and the Pirate Fairy,The Frigate That Flies,first the tower of london arr the guards won't know what hit it we swoop right down and take the crown and the crown jewels with it and when we fly to paris all the treasures i'll be grabbing the mona lisa will look lovely hanging in me cabin hey ho imagine the places that we'll go no one can stop us when we're so high in the stratosphere hey ho we'll be the freighter that plunders every one of the world's seven wonders when we're up in the skies for who can fight a frigate that flies no one can fight a frigate that flies next we'll roam to rome me lads and here's what i'll be stealing i'll rob the sistine chapel of the sistine chapel's ceiling and for all the folks in egypt it will be a dismal day they'll be crying for their mummies when we take their mummies away hey ho imagine the places that we'll go no one can stop us when we're so high they will all cower in fear hey ho from delhi to rio to venice there's no city that we will not menace when we're up in the skies for who can fight a frigate that flies no one can fight a frigate that flies oh how high we will be we will be 'cause the blue fairy dust surely packs a mighty wallop only takes a wallop soon it will set us free we'll be free from the chains of gravity then we'll hoist up the sail and we'll set course for the sun 'cause when you've got wings no wicked deed cannot be done and we owe it all to our great and glorious captain hey ho imagine the places that we'll go no one can stop us when we're so high givin' a pirate cheer arr hey ho we'll be the freighter that plunders every one of the world's seven wonders when we're up in the skies for who can fight a frigate that flies hey ho there's not a town or a county that will not yield its bounty up when our ship draws near hey ho there's not a city or village that we will not plunder or pillage when we're up in the skies for who can fight a frigate that flies and every nation will give a donation when they see us sail the skies in a frigate that flies oi 
Tinker Bell and the Pirate Fairy,Who I Am,i know i can reach the top of the world be all i am and be so beautiful if only i could be brave and i could be strong i would know where i belong if only i wanna feel free to be who i am what i'm about is more than i've been ready to show the world who i am start letting out what i'm holding in and find my own place to stand so i can be who i am ooh yeah i'm closer to what i'm meant to be if i try i know that i can get there i'm not gonna stop 'cause i believe that there's so much more to me i wanna feel free to be who i am what i am is more than i've been ready to show the world who i am find my own place to stand so i can be who i am yeah so i can be who i am i can be who i am 
Planes,Fly,i wanna fly makes everything alright way up in the sky yeah yeah got to feel alive hey so many places that i wanna see i'm gonna make my dreams reality i'll take some time i don't care what they say gonna reach for the stars and take it all the way can't hold me back it's just a waste of time into the clouds i'm gonna climb i wanna fly makes everything alright way up in the sky yeah yeah got to feel alive hey i feel the magic when i'm flyin' free a sweet sensation just believe believe yeah and when the sun is burnin' on my back these little wings are where it's at yeah can't stop me now it's just a waste of time into the clouds i'm gonna climb i wanna fly makes everything alright way up in the sky yeah yeah got to feel alive ooh yeah hit me i wanna fly come on and fly makes everything alright way up in the sky yeah yeah got to feel alive uh i wanna fly 
Planes,Nothing Can Stop Me Now,feel the passion ignite me feel it burning inside me won't let this life just pass me by gonna start a revolution go by the name hero take back control yeah here i go today i've gotta make a change straight to the top i'm on my way and i was meant for so much more and i found a dream worth fighting for and nothing can stop me nothing can stop me now all i need is a horizon courage to keep trying awakened i feel so alive today i've gotta make a change straight to the top i'm on my way and i was meant for so much more and i found a dream worth fighting for and nothing can stop me nothing can stop me now can stop me now today i've gotta make a change straight to the top i'm on my way and i was meant for so much more and i found a dream worth fighting for and nothing can stop me nothing can stop me nothing can stop me nothing can stop me now can stop me now 
Planes,You Don't Stop NYC,nynyc from the bronx straight down to the battery sing oh oh oh oh oh oh oh oh oh oh nynyc where the side east side gonna sing with me yes oh oh oh oh oh oh oh oh oh oh new york city ny ny rock on free and easy yeah chris classic and me deetown where we from new york new york city come on new york new york city i'm home new york new york city it's on uh-huh and you don't stop that's why nynyc from the bronx straight down to the battery sing yeah oh oh oh oh oh uh-huh oh oh oh oh oh nynyc new york city where the side east side gonna sing with me sing with me yeah oh oh oh oh oh uh-huh oh oh oh oh oh uh uh straight from the city that never sleeps y'all remember we got pride that runs deep think september from the middle of times square to harlem to the lower east side not a problem we ride we ride taxicabs buses and trains helicopters to signature for private planes but whatever your situation seems to be uh-huh situated in new york seems home to me that's right stuck in the crosstown traffic oh turn on your radio listen to classic uh-huh you got the subways crowded got your earphones in in your own little world no stranger's been noddin' your head word people watchin' but it's alright long days and long nights whether 5 in the morning or 5 in the evening it don't matter we breathing rock on nynyc yc from the bronx straight down to the battery battery sing yeah oh oh oh oh oh oh oh oh oh oh nynyc new york city where the side east side gonna sing with me sing yeah oh oh oh oh oh oh oh oh oh oh uptown swagger with a brooklyn flow but the mindset of midtown does not know ya gotta admit it's the city of dreams ya gotta wake up to live 'em if you know what i mean it's new york i know i shine in the lights of the city yeah yeah yeah of the promise of a wonder of a mystery oh anything you can dream it can happen yeah yeah yeah all the possibilities are everlasting uptown sing it with me new york new york new york city come on new york new york city i'm home new york new york city it's on and you don't stop that's why nynyc from the bronx straight down to the battery sing oh oh oh oh oh oh oh oh oh oh nynyc new york city where the side east side gonna sing with me sing with me yeah oh oh oh oh oh oh-h oh-h oh-h-h-h oh oh oh new york new york oh oh oh where you don't stop no oh oh oh sing it with me sing it sing it new york oh oh oh where you don't stop where you don't stop no 
Planes: Fire and Rescue,All In,my father fought fires like his father before him i'm from a long line of those who go all in yeah i can still remember when that siren would scream they'd be out the door and flyin' right to the scene without hesitation in the face of fear and doubt every fight a lot of backdraft about to burn down there's smoke and flames and everybody needs out they're all in they're all in they're all in so baby if you're wonderin' how i'm gonna be when life lines up all around you and me i ain't going nowhere i will fight for us suit me up send me in i live for that rush without hesitation in the face of fear and doubt every fight a lot of backdraft about to burn down there's smoke and flames and everybody else is getting out i'm all in all in listen to me now and so when everything is coming down around you ooh i ain't going anywhere this is what i do so tonight in every city and every little town we're living for the moment when that whistle sounds next time you see a burning building scorching up the night just be glad you're out now imagine going inside without hesitation in the face of fear and doubt every fight a lot of backdraft about to burn down there's smoke and flames and everybody needs out i'm all in ooh without hesitation in the face of fear and doubt every fight a lot of backdraft about to burn down when there's smoke and flames and everybody needs out i'm all in 
Planes: Fire and Rescue,Runway Romance,i was making my descent to the old bna at gate number three concourse a and on my radar there i saw a wide-body jet make me pitch and yaw my runway romance at gate number three my runway romance she runs away from me she was clearly first class and i was coach with stabilizers on still made my approach then turbulence hit too late to evolve and when the weather cleared she done took off my runway romance at gate number three my runway romance she runs away from me she said i had too much baggage and she was travelin' light and she had reservation so she went and canceled our flight my runway romance at gate number three my runway romance she runs my runway romance so quick to depart my runway romance flew in and out of my heart 
Planes: Fire and Rescue,Still I Fly,there's a time in your life when the world is on your side you might not feel it you might not see it but it surrounds you like a light makes you stronger for the fight i'm never letting go gotta learn to grow watch me as i touch the sky still i fly now i know it's what i gotta do find a dream that's new give it all i got this time still i fly still i fly feel the wind all around all the courage to be found who knows what's out there i know i'll get there go off into the sun i know i'm not the only one that's never letting go gotta learn to grow watch me as i touch the sky still i fly now i know it's what i got to do find a dream that's new give it all i got this time still i fly still i fly still i fly breathe it in i'm gonna shine it's my moment gotta live it live it right i'm flyin' flyin' so strong i'm movin' i'm movin' i'm movin' on never letting go gotta learn to grow watch me as i touch the sky still i fly now i know it's what i got to do find a dream that's new give it all i got this time still i fly still i fly 
Pocahontas,Colors of the Wind,you think i'm an ignorant savage and you've been so many places i guess it must be so but still i cannot see if the savage one is me how can there be so much that you don't know you don't know you think you own whatever land you land on the earth is just a dead thing you can claim but i know every rock and tree and creature has a life has a spirit has a name you think the only people who are people are the people who look and think like you but if you walk the footsteps of a stranger you'll learn things you never knew you never knew have you ever heard the wolf cry to the blue corn moon or asked the grinning bobcat why he grinned can you sing with all the voices of the mountains can you paint with all the colors of the wind can you paint with all the colors of the wind come run the hidden pine trails of the forest come taste the sun-sweet berries of the earth come roll in all the riches all around you and for once never wonder what they're worth the rainstorm and the river are my brothers the heron and the otter are my friends and we are all connected to each other in a circle in a hoop that never ends how high will the sycamore grow if you cut it down then you'll never know and you'll never hear the wolf cry to the blue corn moon for whether we are white or copper-skinned we need to sing with all the voices of the mountains we need to paint with all the colors of the wind you can own the earth and still all you'll own is earth until you can paint with all the colors of the wind 
Pocahontas,Colors of the Wind (Single),you think you own whatever land you land on earth is just a dead thing you can claim but i know every rock and tree and creature has a life has a spirit has a name you think the only people who are people are the people who look and think like you but if you walk the footsteps of a stranger you'll learn things you never knew you never knew have you ever heard the wolf cry to the blue corn moon or asked the grinning bobcat why he grinned can you sing with all the voices of the mountains can you paint with all the colors of the wind can you paint with all the colors of the wind come run the hidden pine trails of the forest come taste the sun-sweet berries of the earth come roll in all the riches all around you and for once never wonder what they're worth the rainstorm and the river are my brothers the heron and the otter are my friends and we are all connected to each other in a circle in a hoop that never ends have you ever heard the wolf cry to the blue corn moon or let the eagle tell you where he's been can you sing with all the voices of the mountains can you paint with all the colors of the wind can you paint with all the colors of the wind how high does the sycamore grow if you cut it down then you'll never know and you'll never hear the wolf cry to the blue corn moon for whether we are white or copper-skinned we need to sing with all the voices of the mountains we need to paint with all the colors of the wind you can own the earth and still all you'll own is earth until you can paint with all the colors of the wind 
Pocahontas,If I Never Knew You,if i never knew you if i never felt this love i would have no inkling of how precious life can be and if i never held you i would never have a clue how at last i'd find in you the missing part of me in this world so full of fear full of rage and lies i can see the truth so clear in your eyes so dry your eyes and i'm so grateful to you i'd have lived my whole life through lost forever if i never knew you if i never knew you i'd be safe but half as real never knowing i could feel a love so strong and true i'm so grateful to you i'd have lived my whole life through lost forever if i never knew you i thought our love would be so beautiful somehow we'd make the whole world bright i never knew that fear and hate could be so strong all they'd leave us were these whispers in the night but still my heart is singing we were right oh oh oh if i never knew you there's no moment i regret if i never knew this love since the moment that we met i would have no inkling of if our time has come to pass how precious life can be i've lived at last yeah yeah i thought our love would be so beautiful so beautiful somehow we'd make the whole world bright i thought our love would be so beautiful we'd turn the darkness into light and still my heart is singing we were right we were right and if i never knew you if i never knew you i'd have lived my whole life through empty as the sky never knowing why lost forever if i never knew you 
Pocahontas,Just Around the Riverbend,what i love most about rivers is you can't step in the same river twice the water's always changing always flowing but people i guess can't live like that we all must pay a price to be safe we lose our chance of ever knowing what's around the riverbend waiting just around the riverbend i look once more just around the riverbend beyond the shore where the gulls fly free don't know what for what i dream the day might send just around the riverbend for me coming for me i feel it there beyond those trees or right behind these waterfalls can i ignore that sound of distant drumming for a handsome sturdy husband who builds handsome sturdy walls and never dreams that something might be coming just around the riverbend just around the riverbend i look once more just around the riverbend beyond the shore somewhere past the sea don't know what for why do all my dreams extend just around the riverbend just around the riverbend should i choose the smoothest course steady as the beating drum should i marry kocoum is all my dreaming at an end or do you still wait for me dream giver just around the riverbend 
Pocahontas,Listen With Your Heart,que que na-to-ra you will understand listen with your heart you will understand let it break upon you like a wave upon the sand listen with your heart you will understand 
Pocahontas,"Mine, Mine, Mine!", the gold of cortes the jewels of pizarro will seem like mere trinkets by this time tomorrow the gold we find here will dwarf them by far oh with all ya got in ya boys dig up virginia boys mine boys mine every mountain and dig boys dig till ya drop grab a pick boys quick boys shove in a shovel uncover those lovely pebbles that sparkle and shine it's gold and it's mine mine mine  dig and dig and dig and diggety dig and dig and dig and dig and diggety dig  hey nonny nonny ho nonny nonny  oh how i love it  hey nonny nonny ho nonny nonny  riches for cheap  hey nonny nonny ho nonny nonny  there'll be heaps of it  and i'll be on top of the heap my rivals back home it's not that i'm bitter but think how they'll squirm when they see how i glitter the ladies at court will be all a-twitter the king will reward me he'll knight me no lord me it's mine mine mine for the taking it's mine boys mine me that gold with those nuggets dug it's glory they'll gimme my dear friend king jimmy will probably build me a shrine when all of the gold is mine  dig and dig and dig and diggety dig and dig and dig and dig and diggety-dig  all of my life i have searched for a land like this one a wilder more challenging country i couldn't design hundreds of dangers await and i don't plan to miss one in a land i can claim a land i can tame the greatest adventure is mine  keep on working lads  mine  don't be shirking lads mine boys mine mine me that gold beautiful gold make this island my land make the mounds big boys i'd help you to dig boys but i've got this crick in me spine  this land we behold  this beauty untold  a man can be bold  it all can be sold and the gold is mine mine mine  and dig and dig and dig and diggety dig hey nonny nonny it's mine 
Pocahontas,Savages, what can you expect from filthy little heathens here's what you get when races are diverse their skin's a hellish red they're only good when dead they're vermin as i said and worse  they're savages savages  barely even human  savages savages  drive them from our shore they're not like you and me which means they must be evil we must sound the drums of war  they're savages savages dirty shrieking devils now we sound the drums of war  this is what we feared the paleface is a demon the only thing they feel at all is greed  beneath that milky hide there's emptiness inside  i wonder if they even bleed they're savages savages  barely even human  savages savages  killers at the core  they're different from us which means they can't be trusted  we must sound the drums of war  they're savages savages first we deal with this one then we sound the drums of war savages savages  let's go get a few men  savages savages  now it's up to you men  savages savages barely even human now we sound the drums of war  this will be the day let's go men  this will be the morning  we will see them dying in the dust  i don't know what i can do still i know i've got to try  now we make 'em pay  eagle help my feet to fly  now without a warning  mountain help my heart be great  now we leave 'em blood and bone and dust  spirits of the earth and sky  it's them or us  please don't let it be too late  they're just a bunch of filthy stinking savages savages demon devil  kill them  savages savages  what are we waiting for  destroy their evil race until there's not a trace left we will sound the drums of war  how loud are the drums of war  now we sound the drums of war now we see what comes of trying to be chums now we sound the drums of  is the death of all i love carried in the drumming of  war 
Pocahontas,Steady as the Beating Drum,hega hega ya-hi-ye hega ya-hi-ye-ne-he hega hega hega ya-hi-ye hega ya-hi-ye-ne-he hega steady as the beating drum singing to the cedar flute seasons go and seasons come bring the corn and bear the fruit by the waters sweet and clean where the mighty sturgeon lives plant the squash and reap the bean all the earth our mother gives oh great spirit hear our song help us keep the ancient ways keep the sacred fire strong walk in balance all our day seasons go and seasons come steady as the beating drum plum to seed to bud to plum hega hega ya-hi-ye hega steady as the beating drum hega hega ya-hi-ye hega ya-hi-ye-ne-he hega 
Pocahontas,Steady as the Beating Drum (Reprise),as the river cuts his path though the river's proud and strong he will choose the smoothest course that's why rivers live so long they're steady as the steady beating drum 
Pocahontas,The Virginia Company,in sixteen hundred seven we sail the open sea for glory god and gold and the virginia company for the new world is like heaven and we'll all be rich and free or so we have been told by the virginia company so we have been told by the virginia company for glory god and gold and the virginia company on the beaches of virginny there's diamonds like debris there's silver rivers flowin' gold you pick right off a tree with a nugget for my winnie and another one for me and all the rest'll go to the virginia company it's glory god and gold and the virginia company we'll kill ourselves an injun or maybe two or three we're stalwart men and bold of the virginia company it's glory god and gold and the virginia company 
Pocahontas II: Journey to a New World,Between Two Worlds, two hopeful hearts two lands apart together there's no end to what our dream can start like two eagles soar as one upon the river of the wind with the promise of forever we will take the past and learn how to begin and we'll build a bridge of love between two worlds  with every kiss we'll promise this we'll find a way to light the dawn of all we wish across the stream of stars we'll reach an island in the sky with the moon to guide our way i know that we can find a home for you and i and we'll build a bridge of love between two worlds  miles and miles away  though the journey takes us far our love has found a place to stay  if we believe  if we believe  there is no sea  there is no sea  that's wide enough to keep us from our destiny  like the snows of every winter melt and blossom into spring  as the seasons pass we'll live as one  no matter what the years ahead may bring  no night is long enough  to end this light that shines on us  we have built a bridge of love between two worlds yes we have built a love between two worlds 
